Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,111.39,111.44,107.35,109.33,97.34,53204600
2015-02-02,118.05,120.51,116.08,118.63,105.63,118608900
2015-03-02,129.25,130.28,125.76,129.09,114.93,88070700
2015-04-01,126.37,128.57,124.46,125.32,111.61,87773100
2015-05-01,126.1,132.97,125.3,130.28,116.00,106817000
2015-06-01,130.28,131.39,126.83,126.6,112.73,114677900
2015-07-01,126.9,132.97,119.22,121.3,108.04,274144200
2015-08-03,121.5,122.57,92.00,112.92,100.55,219517100
2015-09-01,110.15,114.53,107.36,109.96,97.90,176756100
2015-10-01,109.07,119.59,107.31,119.5,106.37,159557000
2015-11-02,120.8,123.82,111.4,118.3,105.34,144211800
2015-12-01,117.99,119.86,104.82,105.26,93.74,222953300
2016-01-04,102.61,105.85,92.39,97.34,86.70,271270300
2016-02-01,96.47,98.89,92.59,96.69,86.11,194772600
2016-03-01,97.65,109.9,97.42,108.99,97.04,158180600
2016-04-01,108.78,112.39,105.64,93.74,83.50,152834000
2016-05-02,93.64,100.73,89.47,99.86,88.95,170233900
2016-06-01,98.83,99.35,91.5,95.6,85.15,169205500
2016-07-01,95.49,104.55,95.33,104.21,92.82,173045200
2016-08-01,104.41,110.23,104.0,106.1,94.50,126905000
2016-09-01,105.72,116.18,102.53,113.05,100.69,206766900
2016-10-03,112.71,118.69,112.28,113.54,101.12,159652900
2016-11-01,113.46,113.77,108.11,110.52,98.42,145855000
2016-12-01,110.36,118.02,108.25,115.82,103.12,115027800
2017-01-03,115.8,122.44,114.76,121.35,108.06,115128700
2017-02-01,127.03,137.48,127.01,136.99,121.96,104153500
2017-03-01,137.89,144.5,137.05,143.66,127.87,109175500
2017-04-03,143.71,145.46,140.06,143.65,127.87,91815800
2017-05-01,145.1,156.65,144.27,153.61,136.73,103642300
2017-06-01,153.17,155.98,142.2,144.02,128.20,135675800
2017-07-03,144.88,153.99,142.41,148.73,132.42,101362000
2017-08-01,149.1,163.89,148.41,164.0,146.01,104983700
2017-09-01,164.8,164.94,149.16,154.12,137.18,158,148,200
2017-10-02,154.26,169.65,152.46,169.04,150.45,97309700
2017-11-01,169.87,176.24,165.28,171.85,152.96,127025400
2017-12-01,169.95,177.2,166.46,169.23,150.62,137081600
2018-01-02,170.16,180.1,164.7,167.43,149.03,160287800
2018-02-01,167.17,179.39,150.24,178.12,158.51,194547800
2018-03-01,178.54,183.5,167.1,167.78,149.34,161612600
2018-04-02,166.64,178.94,160.63,165.26,147.08,184356000
2018-05-01,166.41,190.37,165.27,186.87,166.33,160608300
2018-06-01,187.99,194.2,180.73,185.11,164.76,148245300
2018-07-02,183.82,195.96,183.42,190.29,169.37,127073700
2018-08-01,199.13,228.87,197.31,227.63,202.64,178156500
2018-09-04,228.41,229.67,215.3,225.74,200.97,143714000
2018-10-01,227.95,233.47,206.09,218.86,194.86,240224300
2018-11-01,219.05,222.36,170.26,178.58,158.93,208313000
2018-12-03,184.46,184.94,146.59,157.74,140.42,180186900
2019-01-02,154.89,169.0,142.0,166.44,148.15,221354000
2019-02-01,166.96,175.87,165.93,173.15,154.13,116093900
2019-03-01,174.28,197.69,172.95,189.95,169.03,133585300
2019-04-01,191.64,204.48,188.38,200.67,178.59,105362000
2019-05-01,209.88,215.31,174.99,175.07,155.85,162266900
2019-06-03,175.6,201.57,170.27,197.92,176.16,120640200
2019-07-01,203.17,221.37,198.41,213.04,189.59,146769200
2019-08-01,213.9,218.03,192.58,208.74,185.75,187073000
2019-09-03,206.43,226.42,204.22,223.97,199.32,128158200
2019-10-01,225.07,249.75,215.13,248.76,221.39,116131100
2019-11-01,249.54,267.98,249.16,267.25,237.83,95748700
2019-12-02,267.27,293.97,256.29,293.65,261.36,115729700
2020-01-02,296.24,327.85,292.75,309.51,275.45,144068600
2020-02-03,304.3,327.22,212.61,273.36,243.29,210079800
2020-03-02,282.28,304.0,212.61,254.29,226.31,355836400
2020-04-01,246.5,294.53,236.9,293.8,261.49,185523300
2020-05-01,286.25,324.24,285.85,317.94,283.00,168314800
2020-06-01,317.75,372.38,317.21,364.8,324.67,202870500
2020-07-01,365.12,425.66,356.58,425.04,378.31,202428900
2020-08-03,432.8,515.14,432.0,499.23,444.30,374336100
2020-09-01,538.43,538.7,112.41,115.81,103.11,290272600
2020-10-01,117.64,125.39,107.72,108.86,96.89,210732300
2020-11-02,109.11,121.99,107.32,119.05,105.96,114458600
2020-12-01,121.01,138.79,120.01,132.69,118.10,121047300
